"nodeA","nodeB","label","wcn","wjc","wpa","waa"
0,356,1,14.7142857142857,0.872881355932203,4347,24.3438231189663
0,1236,1,15.6666666666667,0.740157480314961,4914,22.2347121492109
356,1236,1,15.4285714285714,0.81203007518797,5382,25.6309485776578
0,1655,1,15.7142857142857,0.866141732283465,4599,26.1899802265833
0,1797,1,14.2857142857143,0.934579439252336,3024,23.8817982419969
0,2568,1,16.5714285714286,0.865671641791045,4977,28.0365732712099
0,3649,1,15.7142857142857,0.873015873015873,4536,26.1737711076266
0,3760,1,14.2857142857143,0.925925925925926,3087,23.8997055822615
356,1655,1,16.1428571428571,0.856060606060606,5037,27.0451038563477
356,1797,1,14.7142857142857,0.919642857142857,3312,24.6869526045051
356,2568,1,17,0.856115107913669,5451,28.8907587652007
356,3649,1,16.1428571428571,0.862595419847328,4968,27.0281579592567
356,3760,1,13.125,0.929203539823009,3381,25.1613065106326
1236,1655,1,17.3333333333333,0.732394366197183,5694,24.7709276436519
1236,1797,1,15.6666666666667,0.764227642276423,3744,22.290416917077
1236,2568,1,18.1666666666667,0.726666666666667,6162,26.1626952777928
1236,3649,1,17.3333333333333,0.737588652482269,5616,24.7547185246952
1236,3760,1,14.4285714285714,0.821138211382114,3822,23.8705514775279
1655,1797,1,13,0.896551724137931,3504,25.618898211315
1655,2568,1,11.0909090909091,0.865248226950355,5767,30.7031169134222
1655,3649,1,10.1818181818182,0.848484848484849,5256,27.6298618374564
1655,3760,1,13,0.888888888888889,3577,25.6381325041291
1797,2568,1,12.75,0.864406779661017,3792,25.7782252581432
1797,3649,1,13,0.904347826086957,3456,25.6056362048959
1797,3760,1,9.75,0.886363636363636,2352,19.6296546935108
2568,3649,1,11.0909090909091,0.871428571428571,5688,30.6854342381968
2568,3760,1,13,0.866666666666667,3871,26.2865944912095
3649,3760,1,13,0.896551724137931,3528,25.62487049771
0,2414,1,11.8333333333333,0.797752808988764,1701,16.9236382849205
1797,2414,1,8.85714285714286,0.885714285714286,1296,15.5552216935706
2414,2568,1,11.4285714285714,0.8,2133,20.1696033080748
2414,3760,1,8.71428571428571,0.859154929577465,1323,15.3455941178456
1,19,1,2.4,0.493150684931507,928,10.2311881949835
1,141,1,2.06666666666667,0.96875,272,9.05277708821693
1,337,1,2,0.833333333333333,336,8.75807542254686
1,340,1,2,0.967741935483871,256,8.69919408111469
1,750,1,2.13333333333333,0.96969696969697,288,9.28945822150069
1,1242,1,2.86666666666667,0.341269841269841,1776,11.9794211704129
1,1309,1,2,0.9375,272,8.71315381632182
1,1917,1,2.6,0.513157894736842,976,10.9963334362441
1,2214,1,2.06666666666667,0.885714285714286,320,8.96581103152362
1,3393,1,2.93333333333333,0.407407407407407,1488,12.4781993852408
1,3417,1,2,0.967741935483871,256,8.69919408111469
1,3552,1,2.2,0.942857142857143,320,9.40105539189463
1,3630,1,2.8,0.4375,1296,11.5943784164689
1,3675,1,2.53333333333333,0.678571428571429,656,10.6752387904364
1,3828,1,2,0.967741935483871,256,8.69919408111469
1,3951,1,2.33333333333333,0.309734513274336,1568,10.6233201953805
19,141,1,2.46666666666667,0.5,986,10.5847712020857
19,337,1,2.4,0.461538461538462,1218,10.2900695364157
19,340,1,2.4,0.493150684931507,928,10.2311881949835
19,750,1,2.53333333333333,0.506666666666667,1044,10.8214523353695
19,1242,1,4.14814814814815,0.678787878787879,6438,29.603336027517
19,1309,1,2.4,0.486486486486487,986,10.2451479301906
19,1917,1,3,0.38135593220339,3538,12.5283275501129
19,2214,1,2.46666666666667,0.480519480519481,1160,10.4978051453924
19,3393,1,4.15,0.553333333333333,5394,21.4279831166907
19,3417,1,2.4,0.493150684931507,928,10.2311881949835
19,3552,1,2.6,0.506493506493506,1160,10.9330495057634
19,3630,1,3.82758620689655,0.822222222222222,4698,30.1739694435183
19,3675,1,2.93333333333333,0.448979591836735,2378,12.2072329043052
19,3828,1,2.4,0.493150684931507,928,10.2311881949835
19,3951,1,2.75,0.283870967741935,5684,12.9800370424768
141,337,1,2.06666666666667,0.837837837837838,357,9.11165842964911
141,340,1,2.06666666666667,0.96875,272,9.05277708821693
141,750,1,2.06666666666667,0.939393939393939,306,8.95744170044664
141,1242,1,2.93333333333333,0.346456692913386,1887,12.3330041775151
141,1309,1,2.06666666666667,0.939393939393939,289,9.06673682342407
141,1917,1,2.66666666666667,0.519480519480519,1037,11.3499164433463
141,2214,1,2.13333333333333,0.888888888888889,340,9.31939403862586
141,3393,1,3,0.412844036697248,1581,12.831782392343
141,3417,1,2.06666666666667,0.96875,272,9.05277708821693
141,3552,1,2.26666666666667,0.944444444444444,340,9.75463839899688
141,3630,1,2.86666666666667,0.443298969072165,1377,11.9479614235712
141,3675,1,2.6,0.684210526315789,697,11.0288217975387
141,3828,1,2.06666666666667,0.96875,272,9.05277708821693
141,3951,1,2.4,0.315789473684211,1666,10.9769032024827
337,340,1,2,0.833333333333333,336,8.75807542254686
337,750,1,2.13333333333333,0.842105263157895,378,9.34833956293287
337,1242,1,2.86666666666667,0.32824427480916,2331,12.038302511845
337,1309,1,2,0.810810810810811,357,8.772035157754
337,1917,1,2.6,0.481481481481481,1281,11.0552147776762
337,2214,1,2.06666666666667,0.775,420,9.02469237295579
337,3393,1,2.93333333333333,0.389380530973451,1953,12.537080726673
337,3417,1,2,0.833333333333333,336,8.75807542254686
337,3552,1,2.2,0.825,420,9.45993673332681
337,3630,1,2.8,0.415841584158416,1701,11.6532597579011
337,3675,1,2.53333333333333,0.622950819672131,861,10.7341201318686
337,3828,1,2,0.833333333333333,336,8.75807542254686
337,3951,1,2.33333333333333,0.296610169491525,2058,10.6822015368127
340,750,1,2.13333333333333,0.96969696969697,288,9.28945822150069
340,1242,1,2.86666666666667,0.341269841269841,1776,11.9794211704129
340,1309,1,2,0.9375,272,8.71315381632182
340,1917,1,2.6,0.513157894736842,976,10.9963334362441
340,2214,1,2.06666666666667,0.885714285714286,320,8.96581103152362
340,3393,1,2.93333333333333,0.407407407407407,1488,12.4781993852408
340,3417,1,2,0.967741935483871,256,8.69919408111469
340,3552,1,2.2,0.942857142857143,320,9.40105539189463
340,3630,1,2.8,0.4375,1296,11.5943784164689
340,3675,1,2.53333333333333,0.678571428571429,656,10.6752387904364
340,3828,1,2,0.967741935483871,256,8.69919408111469
340,3951,1,2.33333333333333,0.309734513274336,1568,10.6233201953805
750,1242,1,3,0.3515625,1998,12.5696853107989
750,1309,1,2.13333333333333,0.941176470588235,306,9.30341795670783
750,1917,1,2.73333333333333,0.525641025641026,1098,11.5865975766301
750,2214,1,2.2,0.891891891891892,360,9.55607517190962
750,3393,1,3.06666666666667,0.418181818181818,1674,13.0684635256268
750,3417,1,2.13333333333333,0.96969696969697,288,9.28945822150069
750,3552,1,2.33333333333333,0.945945945945946,360,9.99131953228064
750,3630,1,2.93333333333333,0.448979591836735,1458,12.1846425568549
750,3675,1,2.66666666666667,0.689655172413793,738,11.2655029308224
750,3828,1,2.13333333333333,0.96969696969697,288,9.28945822150069
750,3951,1,2.33333333333333,0.307017543859649,1764,10.6563388836859
1242,1309,1,2.86666666666667,0.338582677165354,1887,11.99338090562
1242,1917,1,3.46666666666667,0.304093567251462,6771,14.2765605255422
1242,2214,1,3,0.369230769230769,2220,13.084492203384
1242,3393,1,4.57692307692308,0.589108910891089,10323,29.3851824814073
1242,3417,1,2.86666666666667,0.341269841269841,1776,11.9794211704129
1242,3552,1,3.06666666666667,0.353846153846154,2220,12.6812824811928
1242,3630,1,3.93333333333333,0.648351648351648,8991,31.2971008963347
1242,3675,1,3.4,0.337748344370861,4551,13.9554658797346
1242,3828,1,2.86666666666667,0.341269841269841,1776,11.9794211704129
1242,3951,1,3.5,0.269230769230769,10878,15.5804554498031
1309,1917,1,2.6,0.506493506493506,1037,11.0102931714512
1309,2214,1,2.06666666666667,0.861111111111111,340,8.97977076673075
1309,3393,1,2.93333333333333,0.403669724770642,1581,12.4921591204479
1309,3417,1,2,0.9375,272,8.71315381632182
1309,3552,1,2.2,0.916666666666667,340,9.41501512710177
1309,3630,1,2.8,0.43298969072165,1377,11.608338151676
1309,3675,1,2.53333333333333,0.666666666666667,697,10.6891985256436
1309,3828,1,2,0.9375,272,8.71315381632182
1309,3951,1,2.33333333333333,0.307017543859649,1666,10.6372799305876
1917,2214,1,2.66666666666667,0.5,1220,11.262950386653
1917,3393,1,4.1304347826087,0.650684931506849,5673,25.9804017522196
1917,3417,1,2.6,0.513157894736842,976,10.9963334362441
1917,3552,1,2.8,0.525,1220,11.698194747024
1917,3630,1,3.4,0.361702127659574,4941,13.8915177715983
1917,3675,1,3.95,0.797979797979798,2501,21.3957386072393
1917,3828,1,2.6,0.513157894736842,976,10.9963334362441
1917,3951,1,2.93333333333333,0.278481012658228,5978,12.9204595505099
2214,3393,1,3,0.401785714285714,1860,12.7448163356497
2214,3417,1,2.06666666666667,0.885714285714286,320,8.96581103152362
2214,3552,1,2.26666666666667,0.871794871794872,400,9.66767234230356
2214,3630,1,2.86666666666667,0.43,1620,11.8609953668778
2214,3675,1,2.6,0.65,820,10.9418557408453
2214,3828,1,2.06666666666667,0.885714285714286,320,8.96581103152362
2214,3951,1,2.94444444444444,0.456896551724138,1960,15.9210320422163
3393,3417,1,2.93333333333333,0.407407407407407,1488,12.4781993852408
3393,3552,1,3.13333333333333,0.419642857142857,1860,13.1800606960207
3393,3630,1,4.84210526315789,0.531791907514451,7533,22.790399467055
3393,3675,1,3.85714285714286,0.637795275590551,3813,21.6767270459305
3393,3828,1,2.93333333333333,0.407407407407407,1488,12.4781993852408
3393,3951,1,3.26666666666667,0.257894736842105,9114,14.4023254995066
3417,3552,1,2.2,0.942857142857143,320,9.40105539189463
3417,3630,1,2.8,0.4375,1296,11.5943784164689
3417,3675,1,2.53333333333333,0.678571428571429,656,10.6752387904364
3417,3828,1,2,0.967741935483871,256,8.69919408111469
3417,3951,1,2.33333333333333,0.309734513274336,1568,10.6233201953805
