nodeA,nodeB,label,wcn,wjc,wpa,waa
0,356,1,14.71428571,0.872881356,4347,24.34382312
0,1236,1,15.66666667,0.74015748,4914,22.23471215
356,1236,1,15.42857143,0.812030075,5382,25.63094858
0,1655,1,15.71428571,0.866141732,4599,26.18998023
0,1797,1,14.28571429,0.934579439,3024,23.88179824
0,2568,1,16.57142857,0.865671642,4977,28.03657327
0,3649,1,15.71428571,0.873015873,4536,26.17377111
0,3760,1,14.28571429,0.925925926,3087,23.89970558
356,1655,1,16.14285714,0.856060606,5037,27.04510386
356,1797,1,14.71428571,0.919642857,3312,24.6869526
356,2568,1,17,0.856115108,5451,28.89075877
356,3649,1,16.14285714,0.86259542,4968,27.02815796
356,3760,1,13.125,0.92920354,3381,25.16130651
1236,1655,1,17.33333333,0.732394366,5694,24.77092764
1236,1797,1,15.66666667,0.764227642,3744,22.29041692
1236,2568,1,18.16666667,0.726666667,6162,26.16269528
1236,3649,1,17.33333333,0.737588652,5616,24.75471852
1236,3760,1,14.42857143,0.821138211,3822,23.87055148
1655,1797,1,13,0.896551724,3504,25.61889821
1655,2568,1,11.09090909,0.865248227,5767,30.70311691
1655,3649,1,10.18181818,0.848484848,5256,27.62986184
1655,3760,1,13,0.888888889,3577,25.6381325
1797,2568,1,12.75,0.86440678,3792,25.77822526
1797,3649,1,13,0.904347826,3456,25.6056362
1797,3760,1,9.75,0.886363636,2352,19.62965469
2568,3649,1,11.09090909,0.871428571,5688,30.68543424
2568,3760,1,13,0.866666667,3871,26.28659449
3649,3760,1,13,0.896551724,3528,25.6248705
0,2414,1,11.83333333,0.797752809,1701,16.92363828
1797,2414,1,8.857142857,0.885714286,1296,15.55522169
2414,2568,1,11.42857143,0.8,2133,20.16960331
2414,3760,1,8.714285714,0.85915493,1323,15.34559412
1,19,1,2.4,0.493150685,928,10.23118819
1,141,1,2.066666667,0.96875,272,9.052777088
1,337,1,2,0.833333333,336,8.758075423
1,340,1,2,0.967741935,256,8.699194081
1,750,1,2.133333333,0.96969697,288,9.289458222
1,1242,1,2.866666667,0.341269841,1776,11.97942117
1,1309,1,2,0.9375,272,8.713153816
1,1917,1,2.6,0.513157895,976,10.99633344
1,2214,1,2.066666667,0.885714286,320,8.965811032
1,3393,1,2.933333333,0.407407407,1488,12.47819939
1,3417,1,2,0.967741935,256,8.699194081
1,3552,1,2.2,0.942857143,320,9.401055392
1,3630,1,2.8,0.4375,1296,11.59437842
1,3675,1,2.533333333,0.678571429,656,10.67523879
1,3828,1,2,0.967741935,256,8.699194081
1,3951,1,2.333333333,0.309734513,1568,10.6233202
19,141,1,2.466666667,0.5,986,10.5847712
19,337,1,2.4,0.461538462,1218,10.29006954
19,340,1,2.4,0.493150685,928,10.23118819
19,750,1,2.533333333,0.506666667,1044,10.82145234
19,1242,1,4.148148148,0.678787879,6438,29.60333603
19,1309,1,2.4,0.486486486,986,10.24514793
19,1917,1,3,0.381355932,3538,12.52832755
19,2214,1,2.466666667,0.480519481,1160,10.49780515
19,3393,1,4.15,0.553333333,5394,21.42798312
19,3417,1,2.4,0.493150685,928,10.23118819
19,3552,1,2.6,0.506493506,1160,10.93304951
19,3630,1,3.827586207,0.822222222,4698,30.17396944
19,3675,1,2.933333333,0.448979592,2378,12.2072329
19,3828,1,2.4,0.493150685,928,10.23118819
19,3951,1,2.75,0.283870968,5684,12.98003704
141,337,1,2.066666667,0.837837838,357,9.11165843
141,340,1,2.066666667,0.96875,272,9.052777088
141,750,1,2.066666667,0.939393939,306,8.9574417
141,1242,1,2.933333333,0.346456693,1887,12.33300418
141,1309,1,2.066666667,0.939393939,289,9.066736823
141,1917,1,2.666666667,0.519480519,1037,11.34991644
141,2214,1,2.133333333,0.888888889,340,9.319394039
141,3393,1,3,0.412844037,1581,12.83178239
141,3417,1,2.066666667,0.96875,272,9.052777088
141,3552,1,2.266666667,0.944444444,340,9.754638399
141,3630,1,2.866666667,0.443298969,1377,11.94796142
141,3675,1,2.6,0.684210526,697,11.0288218
141,3828,1,2.066666667,0.96875,272,9.052777088
141,3951,1,2.4,0.315789474,1666,10.9769032
337,340,1,2,0.833333333,336,8.758075423
337,750,1,2.133333333,0.842105263,378,9.348339563
337,1242,1,2.866666667,0.328244275,2331,12.03830251
337,1309,1,2,0.810810811,357,8.772035158
337,1917,1,2.6,0.481481481,1281,11.05521478
337,2214,1,2.066666667,0.775,420,9.024692373
337,3393,1,2.933333333,0.389380531,1953,12.53708073
337,3417,1,2,0.833333333,336,8.758075423
337,3552,1,2.2,0.825,420,9.459936733
337,3630,1,2.8,0.415841584,1701,11.65325976
337,3675,1,2.533333333,0.62295082,861,10.73412013
337,3828,1,2,0.833333333,336,8.758075423
337,3951,1,2.333333333,0.296610169,2058,10.68220154
340,750,1,2.133333333,0.96969697,288,9.289458222
340,1242,1,2.866666667,0.341269841,1776,11.97942117
340,1309,1,2,0.9375,272,8.713153816
340,1917,1,2.6,0.513157895,976,10.99633344
340,2214,1,2.066666667,0.885714286,320,8.965811032
340,3393,1,2.933333333,0.407407407,1488,12.47819939
340,3417,1,2,0.967741935,256,8.699194081
340,3552,1,2.2,0.942857143,320,9.401055392
340,3630,1,2.8,0.4375,1296,11.59437842
340,3675,1,2.533333333,0.678571429,656,10.67523879
340,3828,1,2,0.967741935,256,8.699194081
340,3951,1,2.333333333,0.309734513,1568,10.6233202
750,1242,1,3,0.3515625,1998,12.56968531
750,1309,1,2.133333333,0.941176471,306,9.303417957
750,1917,1,2.733333333,0.525641026,1098,11.58659758
750,2214,1,2.2,0.891891892,360,9.556075172
750,3393,1,3.066666667,0.418181818,1674,13.06846353
750,3417,1,2.133333333,0.96969697,288,9.289458222
750,3552,1,2.333333333,0.945945946,360,9.991319532
750,3630,1,2.933333333,0.448979592,1458,12.18464256
750,3675,1,2.666666667,0.689655172,738,11.26550293
750,3828,1,2.133333333,0.96969697,288,9.289458222
750,3951,1,2.333333333,0.307017544,1764,10.65633888
1242,1309,1,2.866666667,0.338582677,1887,11.99338091
1242,1917,1,3.466666667,0.304093567,6771,14.27656053
1242,2214,1,3,0.369230769,2220,13.0844922
1242,3393,1,4.576923077,0.589108911,10323,29.38518248
1242,3417,1,2.866666667,0.341269841,1776,11.97942117
1242,3552,1,3.066666667,0.353846154,2220,12.68128248
1242,3630,1,3.933333333,0.648351648,8991,31.2971009
1242,3675,1,3.4,0.337748344,4551,13.95546588
1242,3828,1,2.866666667,0.341269841,1776,11.97942117
1242,3951,1,3.5,0.269230769,10878,15.58045545
1309,1917,1,2.6,0.506493506,1037,11.01029317
1309,2214,1,2.066666667,0.861111111,340,8.979770767
1309,3393,1,2.933333333,0.403669725,1581,12.49215912
1309,3417,1,2,0.9375,272,8.713153816
1309,3552,1,2.2,0.916666667,340,9.415015127
1309,3630,1,2.8,0.432989691,1377,11.60833815
1309,3675,1,2.533333333,0.666666667,697,10.68919853
1309,3828,1,2,0.9375,272,8.713153816
1309,3951,1,2.333333333,0.307017544,1666,10.63727993
1917,2214,1,2.666666667,0.5,1220,11.26295039
1917,3393,1,4.130434783,0.650684932,5673,25.98040175
1917,3417,1,2.6,0.513157895,976,10.99633344
1917,3552,1,2.8,0.525,1220,11.69819475
1917,3630,1,3.4,0.361702128,4941,13.89151777
1917,3675,1,3.95,0.797979798,2501,21.39573861
1917,3828,1,2.6,0.513157895,976,10.99633344
1917,3951,1,2.933333333,0.278481013,5978,12.92045955
2214,3393,1,3,0.401785714,1860,12.74481634
2214,3417,1,2.066666667,0.885714286,320,8.965811032
2214,3552,1,2.266666667,0.871794872,400,9.667672342
2214,3630,1,2.866666667,0.43,1620,11.86099537
2214,3675,1,2.6,0.65,820,10.94185574
2214,3828,1,2.066666667,0.885714286,320,8.965811032
